x,y,class,label
-0.303573,0.72294,0.0,0.0
-0.288011,0.692245,0.0,0.0
-0.306319,0.708402,0.0,0.0
-0.30449,0.714163,0.0,0.0
-0.288526,0.693369,0.0,0.0
-0.294865,0.703397,0.0,0.0
-0.309865,0.695185,0.0,0.0
-0.319757,0.703903,0.0,0.0
-0.320183,0.712842,0.0,0.0
-0.300677,0.709206,0.0,0.0
-0.290033,0.708696,0.0,0.0
-0.303806,0.688634,0.0,0.0
-0.290896,0.690484,0.0,0.0
-0.304622,0.708063,0.0,0.0
-0.299449,0.696423,0.0,0.0
-0.292722,0.7104,0.0,0.0
-0.293923,0.69326,0.0,0.0
-0.290385,0.70271,0.0,0.0
-0.299496,0.690104,0.0,0.0
-0.300396,0.692989,0.0,0.0
-0.297952,0.692667,0.0,0.0
-0.302485,0.687109,0.0,0.0
-0.298512,0.713972,0.0,0.0
-0.282786,0.715323,0.0,0.0
-0.308774,0.676755,0.0,0.0
-0.286396,0.688547,0.0,0.0
-0.293849,0.69611,0.0,0.0
-0.299035,0.687182,0.0,0.0
-0.302777,0.709995,0.0,0.0
-0.304291,0.699998,0.0,0.0
-0.30332,0.694839,0.0,0.0
-0.289463,0.690954,0.0,0.0
-0.276427,0.708997,0.0,0.0
-0.292006,0.698943,0.0,0.0
-0.286314,0.700978,0.0,0.0
-0.301345,0.704031,0.0,0.0
-0.303253,0.707465,0.0,0.0
-0.293208,0.713635,0.0,0.0
-0.306256,0.68532,0.0,0.0
-0.278615,0.688666,0.0,0.0
-0.305058,0.687448,0.0,0.0
-0.3168,0.694762,0.0,0.0
-0.289905,0.697302,0.0,0.0
-0.277335,0.703676,0.0,0.0
-0.310765,0.708563,0.0,0.0
-0.323308,0.698937,0.0,0.0
-0.309364,0.690528,0.0,0.0
-0.297304,0.703368,0.0,0.0
-0.307129,0.686391,0.0,0.0
-0.29482,0.69232,0.0,0.0
-0.307086,0.688725,0.0,0.0
-0.307592,0.691745,0.0,0.0
-0.283758,0.706381,0.0,0.0
-0.315654,0.710587,0.0,0.0
-0.319522,0.730134,0.0,0.0
-0.30737,0.699369,0.0,0.0
-0.301092,0.697099,0.0,0.0
-0.30471,0.7013,0.0,0.0
-0.300737,0.691204,0.0,0.0
-0.296826,0.694491,0.0,0.0
-0.311499,0.694623,0.0,0.0
-0.283872,0.701807,0.0,0.0
-0.290547,0.702444,0.0,0.0
-0.311048,0.695832,0.0,0.0
-0.301703,0.694328,0.0,0.0
-0.289681,0.684412,0.0,0.0
-0.297744,0.71666,0.0,0.0
-0.296482,0.703148,0.0,0.0
-0.30161,0.69184,0.0,0.0
-0.290471,0.697024,0.0,0.0
-0.306872,0.712757,0.0,0.0
-0.306746,0.702967,0.0,0.0
-0.281541,0.712407,0.0,0.0
-0.327675,0.701506,0.0,0.0
-0.30725,0.709069,0.0,0.0
-0.309459,0.691275,0.0,0.0
-0.291862,0.69533,0.0,0.0
-0.310322,0.694677,0.0,0.0
-0.289503,0.671557,0.0,0.0
-0.305605,0.705278,0.0,0.0
-0.300938,0.698398,0.0,0.0
-0.307459,0.684429,0.0,0.0
-0.289959,0.697713,0.0,0.0
-0.297282,0.699661,0.0,0.0
-0.31112,0.703197,0.0,0.0
-0.291157,0.691685,0.0,0.0
-0.298479,0.691335,0.0,0.0
-0.293348,0.693741,0.0,0.0
-0.283203,0.713748,0.0,0.0
-0.302485,0.694455,0.0,0.0
-0.315539,0.691744,0.0,0.0
-0.291941,0.699007,0.0,0.0
-0.287037,0.683256,0.0,0.0
-0.295975,0.698592,0.0,0.0
-0.303164,0.69983,0.0,0.0
-0.28582,0.704174,0.0,0.0
-0.288296,0.701021,0.0,0.0
-0.286246,0.686573,0.0,0.0
